﻿지하철역ID,지하철호선ID,지하철역명,지하철영문명,이전지하철역ID,다음지하철역ID,우편번호,기본주소,상세주소,전화번호,팩스번호,플랫폼구분,하차문구분,내부횡단여부,화장실내외부,환승호선수,운영기관,장애인시설설치여부,환승주차장설치여부,자전거보관소설치여부,지하철역X좌표,지하철역Y좌표,토피스역ID,연계역번호,지하철역코드,지하철노선이미지상단X좌표,지하철노선이미지상단Y좌표,급행정차여부(0:미정차/1:상행정차/2:하행정차/3:양방향정차)
﻿1009000931,﻿1009,﻿삼전,﻿Samjeon,﻿1009000930,﻿1009000932,﻿05603,﻿서울 송파구 삼전동,﻿133-13,﻿,﻿,﻿,﻿,﻿,﻿,﻿0,﻿메트로9,﻿,﻿,﻿,﻿207754.59092,﻿445000.75279,﻿,﻿931,﻿931,﻿1908,﻿1277,﻿0
﻿1009000932,﻿1009,﻿석촌고분,﻿Seokchon Gobun,﻿1009000931,﻿1009000933,﻿05603,﻿서울 송파구 삼전동,﻿133-13,﻿,﻿,﻿,﻿,﻿,﻿,﻿0,﻿메트로9,﻿,﻿,﻿,﻿208546.69877,﻿444785.34871,﻿,﻿932,﻿932,﻿1981,﻿1244,﻿0
﻿1009000933,﻿1009,﻿석촌,﻿Seokchon(Hansol Hospital),﻿1009000932,﻿1009000934,﻿138170,﻿서울특별시 송파구 송파동,﻿19,﻿02-6311-8151,﻿,﻿,﻿,﻿,﻿,﻿1,﻿메트로9,﻿,﻿,﻿,﻿209473.4,﻿445088.5,﻿291207,﻿933,﻿933,﻿2014,﻿1209,﻿0
﻿1009000934,﻿1009,﻿송파나루,﻿Songpanaru,﻿1009000933,﻿1009000935,﻿05620,﻿서울 송파구 송파동,﻿48-11,﻿,﻿,﻿,﻿,﻿,﻿,﻿0,﻿메트로9,﻿,﻿,﻿,﻿209928.13163,﻿445680.01312,﻿,﻿934,﻿934,﻿2073,﻿1149,﻿0
﻿1009000935,﻿1009,﻿한성백제,﻿Hanseong Baekje,﻿1009000934,﻿1009000936,﻿05545,﻿서울 송파구 방이동,﻿45-4,﻿,﻿,﻿,﻿,﻿,﻿,﻿0,﻿메트로9,﻿,﻿,﻿,﻿210265.51556,﻿446364.36553,﻿,﻿935,﻿935,﻿2121,﻿1101,﻿0
﻿1009000936,﻿1009,﻿올림픽공원,﻿Olympic Park,﻿1009000935,﻿1009000937,﻿138050,﻿서울특별시 송파구 방이동,﻿89,﻿02-6311-5551,﻿,﻿,﻿,﻿,﻿,﻿1,﻿메트로9,﻿,﻿,﻿,﻿211619.6874,﻿446415.4267,﻿,﻿936,﻿936,﻿2213,﻿1071,﻿0
﻿1009000938,﻿1009,﻿중앙보훈병원,﻿VHS Medical Center,﻿1009000937,﻿1009000938,﻿05368,﻿서울 강동구 둔촌동,﻿6-2,﻿,﻿,﻿,﻿,﻿,﻿,﻿0,﻿메트로9,﻿,﻿,﻿,﻿213081.44449,﻿447598.70848,﻿,﻿938,﻿938,﻿2312,﻿1071,﻿0
﻿1078330016,﻿1078,﻿가재울,﻿Gajaeul,﻿1078330015,﻿1078330017,﻿,﻿인천광역시 서구 가좌동 288,﻿,﻿032-451-4316,﻿032-451-4346,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿172053.588,﻿442777.328,﻿,﻿I216,﻿3216,﻿202,﻿1423,﻿0
﻿1092004710,﻿1092,﻿정릉,﻿Jeongneung,﻿1092004709,﻿1092004711,﻿136100,﻿성북구 정릉동,﻿286-19,﻿02-3499-5561,﻿,﻿,﻿,﻿,﻿,﻿0,﻿우이신설,﻿,﻿,﻿,﻿201193.6252,﻿455904.3242,﻿,﻿4710,﻿950,﻿1356,﻿436,﻿0
﻿1078330019,﻿1078,﻿시민공원,﻿Citizens Park(Culture Creation Zone),﻿1078330018,﻿1078330020,﻿,﻿인천광역시 남구 주안동 189,﻿,﻿032-451-4319,﻿032-451-4349,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿171873.611,﻿439923.634,﻿,﻿I219,﻿3219,﻿388,﻿1516,﻿0
﻿1078330020,﻿1078,﻿석바위시장,﻿Seokbawi Market,﻿1078330019,﻿1078330021,﻿,﻿인천광역시 남구 주안동 1597,﻿,﻿032-451-4320,﻿032-451-4350,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿171873.611,﻿439923.634,﻿,﻿I220,﻿3220,﻿501,﻿1516,﻿0
﻿1078330021,﻿1078,﻿인천시청,﻿Incheon City Hall,﻿1078330020,﻿1078330022,﻿,﻿인천광역시 남동구 예술로 지하 264,﻿,﻿032-451-4321,﻿032-451-4351,﻿,﻿,﻿,﻿,﻿2,﻿,﻿,﻿,﻿,﻿173567.395,﻿439763.651,﻿,﻿I221,﻿3221,﻿631,﻿1470,﻿0
﻿1078330022,﻿1078,﻿석천사거리,﻿Seokcheon Sageori,﻿1078330021,﻿1078330023,﻿,﻿인천광역시 남동구 구월동 73-3,﻿,﻿032-451-4322,﻿032-451-4352,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿174407.289,﻿439739.653,﻿,﻿I222,﻿3222,﻿723,﻿1468,﻿0
﻿1078330023,﻿1078,﻿모래내시장,﻿Moraenae Market,﻿1078330022,﻿1078330024,﻿,﻿인천광역시 남구 구월동 341-6,﻿,﻿032-451-4323,﻿032-451-4353,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿175231.182,﻿439637.665,﻿,﻿I223,﻿3223,﻿723,﻿1524,﻿0
﻿1078330024,﻿1078,﻿만수,﻿Mansu,﻿1078330023,﻿1078330025,﻿,﻿인천광역시 남동구 만수동 993,﻿,﻿032-451-4324,﻿032-451-4354,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿176257.045,﻿439543.675,﻿,﻿I224,﻿3224,﻿723,﻿1581,﻿0
﻿1078330025,﻿1078,﻿남동구청,﻿Namdong-gu Office,﻿1078330024,﻿1078330026,﻿,﻿인천광역시 남동구 만수동 1006,﻿,﻿032-451-4325,﻿032-451-4355,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿176704.989,﻿438781.756,﻿,﻿I225,﻿3225,﻿723,﻿1637,﻿0
﻿1078330026,﻿1078,﻿인천대공원,﻿Incheon Grand Park,﻿1078330025,﻿1078330027,﻿,﻿인천광역시 남동구 장수동 606-9,﻿,﻿032-451-4326,﻿032-451-4356,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿178178.802,﻿438803.754,﻿,﻿I226,﻿3226,﻿723,﻿1694,﻿0
﻿1067080129,﻿1067,﻿천마산,﻿Cheonmasan,﻿1067080128,﻿1067080130,﻿472846,﻿경기도 남양주시 화도음 묵현리,﻿산99-16,﻿1544-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿철도청구간,﻿,﻿,﻿,﻿225176.2,﻿462195.9,﻿,﻿P129,﻿252,﻿2210,﻿499,﻿0
﻿1067080130,﻿1067,﻿마석,﻿Maseok,﻿1067080129,﻿1067080131,﻿472845,﻿경기도 남양주시 화도읍 마석중앙로 83-14,﻿,﻿031-593-7788,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿227499.4,﻿461509.0,﻿,﻿P130,﻿76,﻿2210,﻿458,﻿0
﻿1067080131,﻿1067,﻿대성리,﻿Daeseong-ri,﻿1067080130,﻿1067080132,﻿477812,﻿경기도 가평군 청평면 경춘로 88,﻿,﻿031-584-0616,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿233488.6,﻿465020.7,﻿,﻿P131,﻿77,﻿2210,﻿416,﻿0
﻿1067080132,﻿1067,﻿청평,﻿Cheongpyeong,﻿1067080131,﻿1067080133,﻿477816,﻿경기도 가평군 청평면 청평역로 97-33,﻿,﻿031-584-0012,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿237602.1,﻿470726.0,﻿,﻿P132,﻿78,﻿2210,﻿375,﻿0
﻿1067080133,﻿1067,﻿상천,﻿Sangcheon,﻿1067080132,﻿1067080134,﻿477814,﻿경기도 가평군 청평면 상천역로 29,﻿,﻿031-585-8874,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿240047.8,﻿474583.6,﻿,﻿P133,﻿79,﻿2210,﻿333,﻿0
﻿1067080134,﻿1067,﻿가평,﻿Gapyeong,﻿1067080133,﻿1067080135,﻿477804,﻿경기도 가평군 가평읍 문화로 13-42,﻿,﻿031-581-2855,﻿,﻿,﻿,﻿,﻿,﻿1,﻿,﻿,﻿,﻿,﻿244963.1,﻿479529.1,﻿,﻿P134,﻿100,﻿2210,﻿291,﻿0
